# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2021-11-23,438.07,439.84,435.48,438.98,52780614.0
2021-11-24,436.99,440.28,436.17,440.15,42477879.0
2021-11-26,433.54,434.96,429.21,430.34,70623727.0
2021-11-29,435.12,437.45,432.93,435.62,54323193.0
2021-11-30,433.18,435.08,426.9,427.14,97083445.0
2021-12-01,432.84,435.68,422.2,422.4,92030995.0
2021-12-02,422.6,430.43,422.22,428.87,87135154.0
2021-12-03,430.53,431.59,420.92,425.13,98907408.0
2021-12-06,427.68,432.04,425.27,430.17,66467576.0
2021-12-07,435.44,439.63,435.37,439.07,64039728.0
2021-12-08,439.46,440.68,437.71,440.23,41652384.0
2021-12-09,438.95,439.85,437.06,437.26,41438415.0
2021-12-10,439.96,441.52,437.41,441.37,48685091.0
2021-12-13,440.86,441.21,437.18,437.46,56051292.0
2021-12-14,434.16,436.69,431.54,434.45,59037693.0
2021-12-15,434.51,441.49,432.0,441.24,71882966.0
2021-12-16,443.11,443.39,435.8,437.35,72008951.0
2021-12-17,434.25,437.28,431.0,432.7,79421094.0
2021-12-20,427.63,428.49,424.49,428.1,69736482.0
2021-12-21,431.48,435.84,429.35,435.7,48991656.0
2021-12-22,435.45,440.17,435.25,440.06,38452144.0
2021-12-23,441.06,444.29,440.95,442.8,34440500.0
2021-12-27,444.14,449.11,444.12,449.06,36463332.0
2021-12-28,449.5,450.52,447.93,448.7,28908009.0
2021-12-29,448.82,450.29,447.8,449.27,31228179.0
2021-12-30,449.69,450.7,447.57,448.03,31204071.0
2021-12-31,447.54,448.69,446.63,446.9,37908097.0
2022-01-03,448.18,449.62,445.85,449.49,44115602.0
2022-01-04,450.91,451.62,447.48,449.34,44970789.0
2022-01-05,448.97,449.74,440.61,440.71,66158039.0
2022-01-06,440.25,443.0,437.93,440.29,60999921.0
2022-01-07,440.3,441.48,437.2,438.55,53262760.0
2022-01-10,435.36,438.22,429.61,438.01,82225190.0
2022-01-11,437.73,442.09,434.75,442.0,55016822.0
2022-01-12,443.73,445.24,441.23,443.19,47133157.0
2022-01-13,444.31,444.94,436.06,437.08,61645158.0
2022-01-14,433.94,437.61,432.73,437.26,69253600.0
2022-01-18,432.57,432.78,428.41,429.52,74928513.0
2022-01-19,431.1,432.46,424.79,425.06,72551986.0
2022-01-20,426.94,431.64,418.24,420.36,90120534.0
2022-01-21,419.24,421.59,412.1,412.1,125025639.0
2022-01-24,406.5,414.36,395.9,413.85,166376267.0
2022-01-25,407.47,413.74,401.91,408.8,109859491.0
2022-01-26,414.68,417.81,403.52,407.78,134858352.0
2022-01-27,412.37,415.5,404.08,405.76,101729571.0
2022-01-28,407.14,415.89,402.54,415.84,114074260.0
2022-01-31,415.17,423.68,413.83,423.33,89299623.0
2022-02-01,424.09,426.83,420.52,426.19,71907595.0
2022-02-02,428.59,431.05,426.28,430.33,71264778.0
2022-02-03,424.31,426.21,419.38,420.21,79616183.0
2022-02-04,419.98,426.03,417.61,422.19,77262496.0
2022-02-07,422.95,424.34,419.51,420.83,60856095.0
2022-02-08,420.34,425.22,418.92,424.3,58231999.0
2022-02-09,428.32,430.83,428.12,430.51,61078349.0
2022-02-10,424.67,430.67,420.78,422.77,93313622.0
2022-02-11,422.86,424.93,413.01,414.44,111725577.0
2022-02-14,413.93,415.51,409.62,413.08,88613109.0
2022-02-15,417.51,419.91,417.0,419.74,62518875.0
